ID,Scenario,Family,Sub-Category,Hostname,Days,Coordinator
205,New,Operating System,Microsoft Windows Server,wfpm2iddb908,80,mailto:BS_CAR_Coordinator@bg.vnet.ibm.com
195,New,Operating System,Microsoft Windows Server,wfpm2iddb908,80,mailto:BS_CAR_Coordinator@bg.vnet.ibm.com
144,New,Operating System,Microsoft Windows Server,wfpm2iddb908,80,mailto:BS_CAR_Coordinator@bg.vnet.ibm.com
121,New,Operating System,Microsoft Windows Server,wfpm2iddb908,80,mailto:BS_CAR_Coordinator@bg.vnet.ibm.com
119,New,Operating System,Microsoft Windows Server,wfpm2iddb908,80,mailto:BS_CAR_Coordinator@bg.vnet.ibm.com
115,New,Operating System,Microsoft Windows Server,wfpm2iddb908,80,mailto:BS_CAR_Coordinator@bg.vnet.ibm.com
102,New,Operating System,Microsoft Windows Server,wfpm2iddb908,80,mailto:BS_CAR_Coordinator@bg.vnet.ibm.com
205,New,Operating System,Microsoft Windows Server,wfpm2iddb904,80,mailto:BS_CAR_Coordinator@bg.vnet.ibm.com
195,New,Operating System,Microsoft Windows Server,wfpm2iddb904,80,mailto:BS_CAR_Coordinator@bg.vnet.ibm.com
144,New,Operating System,Microsoft Windows Server,wfpm2iddb904,80,mailto:BS_CAR_Coordinator@bg.vnet.ibm.com
121,New,Operating System,Microsoft Windows Server,wfpm2iddb904,80,mailto:BS_CAR_Coordinator@bg.vnet.ibm.com
119,New,Operating System,Microsoft Windows Server,wfpm2iddb904,80,mailto:BS_CAR_Coordinator@bg.vnet.ibm.com
115,New,Operating System,Microsoft Windows Server,wfpm2iddb904,80,mailto:BS_CAR_Coordinator@bg.vnet.ibm.com
102,New,Operating System,Microsoft Windows Server,wfpm2iddb904,80,mailto:BS_CAR_Coordinator@bg.vnet.ibm.com
205,New,Operating System,Microsoft Windows Server,wfpm2iddb909,80,mailto:BS_CAR_Coordinator@bg.vnet.ibm.com
195,New,Operating System,Microsoft Windows Server,wfpm2iddb909,80,mailto:BS_CAR_Coordinator@bg.vnet.ibm.com
144,New,Operating System,Microsoft Windows Server,wfpm2iddb909,80,mailto:BS_CAR_Coordinator@bg.vnet.ibm.com
121,New,Operating System,Microsoft Windows Server,wfpm2iddb909,80,mailto:BS_CAR_Coordinator@bg.vnet.ibm.com
119,New,Operating System,Microsoft Windows Server,wfpm2iddb909,80,mailto:BS_CAR_Coordinator@bg.vnet.ibm.com
115,New,Operating System,Microsoft Windows Server,wfpm2iddb909,80,mailto:BS_CAR_Coordinator@bg.vnet.ibm.com
102,New,Operating System,Microsoft Windows Server,wfpm2iddb909,80,mailto:BS_CAR_Coordinator@bg.vnet.ibm.com
205,New,Operating System,Microsoft Windows Server,wfpm2iddb906,80,mailto:BS_CAR_Coordinator@bg.vnet.ibm.com
195,New,Operating System,Microsoft Windows Server,wfpm2iddb906,80,mailto:BS_CAR_Coordinator@bg.vnet.ibm.com
144,New,Operating System,Microsoft Windows Server,wfpm2iddb906,80,mailto:BS_CAR_Coordinator@bg.vnet.ibm.com
121,New,Operating System,Microsoft Windows Server,wfpm2iddb906,80,mailto:BS_CAR_Coordinator@bg.vnet.ibm.com
119,New,Operating System,Microsoft Windows Server,wfpm2iddb906,80,mailto:BS_CAR_Coordinator@bg.vnet.ibm.com
115,New,Operating System,Microsoft Windows Server,wfpm2iddb906,80,mailto:BS_CAR_Coordinator@bg.vnet.ibm.com
102,New,Operating System,Microsoft Windows Server,wfpm2iddb906,80,mailto:BS_CAR_Coordinator@bg.vnet.ibm.com
205,New,Operating System,Microsoft Windows Server,wfpm1idad301,80,mailto:BS_CAR_Coordinator@bg.vnet.ibm.com
195,New,Operating System,Microsoft Windows Server,wfpm1idad301,80,mailto:BS_CAR_Coordinator@bg.vnet.ibm.com
144,New,Operating System,Microsoft Windows Server,wfpm1idad301,80,mailto:BS_CAR_Coordinator@bg.vnet.ibm.com
121,New,Operating System,Microsoft Windows Server,wfpm1idad301,80,mailto:BS_CAR_Coordinator@bg.vnet.ibm.com
119,New,Operating System,Microsoft Windows Server,wfpm1idad301,80,mailto:BS_CAR_Coordinator@bg.vnet.ibm.com
115,New,Operating System,Microsoft Windows Server,wfpm1idad301,80,mailto:BS_CAR_Coordinator@bg.vnet.ibm.com
102,New,Operating System,Microsoft Windows Server,wfpm1idad301,80,mailto:BS_CAR_Coordinator@bg.vnet.ibm.com
205,New,Operating System,Microsoft Windows Server,wfpm1idad781,80,mailto:BS_CAR_Coordinator@bg.vnet.ibm.com
195,New,Operating System,Microsoft Windows Server,wfpm1idad781,80,mailto:BS_CAR_Coordinator@bg.vnet.ibm.com
144,New,Operating System,Microsoft Windows Server,wfpm1idad781,80,mailto:BS_CAR_Coordinator@bg.vnet.ibm.com
121,New,Operating System,Microsoft Windows Server,wfpm1idad781,80,mailto:BS_CAR_Coordinator@bg.vnet.ibm.com
119,New,Operating System,Microsoft Windows Server,wfpm1idad781,80,mailto:BS_CAR_Coordinator@bg.vnet.ibm.com
115,New,Operating System,Microsoft Windows Server,wfpm1idad781,80,mailto:BS_CAR_Coordinator@bg.vnet.ibm.com
102,New,Operating System,Microsoft Windows Server,wfpm1idad781,80,mailto:BS_CAR_Coordinator@bg.vnet.ibm.com
205,New,Operating System,Microsoft Windows Server,wfpm1idad701,80,mailto:BS_CAR_Coordinator@bg.vnet.ibm.com
195,New,Operating System,Microsoft Windows Server,wfpm1idad701,80,mailto:BS_CAR_Coordinator@bg.vnet.ibm.com
144,New,Operating System,Microsoft Windows Server,wfpm1idad701,80,mailto:BS_CAR_Coordinator@bg.vnet.ibm.com
121,New,Operating System,Microsoft Windows Server,wfpm1idad701,80,mailto:BS_CAR_Coordinator@bg.vnet.ibm.com
119,New,Operating System,Microsoft Windows Server,wfpm1idad701,80,mailto:BS_CAR_Coordinator@bg.vnet.ibm.com
115,New,Operating System,Microsoft Windows Server,wfpm1idad701,80,mailto:BS_CAR_Coordinator@bg.vnet.ibm.com
102,New,Operating System,Microsoft Windows Server,wfpm1idad701,80,mailto:BS_CAR_Coordinator@bg.vnet.ibm.com
205,New,Operating System,Microsoft Windows Server,wfpm1idad201,80,mailto:BS_CAR_Coordinator@bg.vnet.ibm.com
195,New,Operating System,Microsoft Windows Server,wfpm1idad201,80,mailto:BS_CAR_Coordinator@bg.vnet.ibm.com
144,New,Operating System,Microsoft Windows Server,wfpm1idad201,80,mailto:BS_CAR_Coordinator@bg.vnet.ibm.com
121,New,Operating System,Microsoft Windows Server,wfpm1idad201,80,mailto:BS_CAR_Coordinator@bg.vnet.ibm.com
119,New,Operating System,Microsoft Windows Server,wfpm1idad201,80,mailto:BS_CAR_Coordinator@bg.vnet.ibm.com
115,New,Operating System,Microsoft Windows Server,wfpm1idad201,80,mailto:BS_CAR_Coordinator@bg.vnet.ibm.com
102,New,Operating System,Microsoft Windows Server,wfpm1idad201,80,mailto:BS_CAR_Coordinator@bg.vnet.ibm.com
205,New,Operating System,Microsoft Windows Server,wfpm1idad081,80,mailto:BS_CAR_Coordinator@bg.vnet.ibm.com
195,New,Operating System,Microsoft Windows Server,wfpm1idad081,80,mailto:BS_CAR_Coordinator@bg.vnet.ibm.com
144,New,Operating System,Microsoft Windows Server,wfpm1idad081,80,mailto:BS_CAR_Coordinator@bg.vnet.ibm.com
121,New,Operating System,Microsoft Windows Server,wfpm1idad081,80,mailto:BS_CAR_Coordinator@bg.vnet.ibm.com
119,New,Operating System,Microsoft Windows Server,wfpm1idad081,80,mailto:BS_CAR_Coordinator@bg.vnet.ibm.com
115,New,Operating System,Microsoft Windows Server,wfpm1idad081,80,mailto:BS_CAR_Coordinator@bg.vnet.ibm.com
102,New,Operating System,Microsoft Windows Server,wfpm1idad081,80,mailto:BS_CAR_Coordinator@bg.vnet.ibm.com
205,New,Operating System,Microsoft Windows Server,wfpm1idad071,80,mailto:BS_CAR_Coordinator@bg.vnet.ibm.com
195,New,Operating System,Microsoft Windows Server,wfpm1idad071,80,mailto:BS_CAR_Coordinator@bg.vnet.ibm.com
144,New,Operating System,Microsoft Windows Server,wfpm1idad071,80,mailto:BS_CAR_Coordinator@bg.vnet.ibm.com
121,New,Operating System,Microsoft Windows Server,wfpm1idad071,80,mailto:BS_CAR_Coordinator@bg.vnet.ibm.com
119,New,Operating System,Microsoft Windows Server,wfpm1idad071,80,mailto:BS_CAR_Coordinator@bg.vnet.ibm.com
115,New,Operating System,Microsoft Windows Server,wfpm1idad071,80,mailto:BS_CAR_Coordinator@bg.vnet.ibm.com
102,New,Operating System,Microsoft Windows Server,wfpm1idad071,80,mailto:BS_CAR_Coordinator@bg.vnet.ibm.com
205,New,Operating System,Microsoft Windows Server,wfpm1idad061,80,mailto:BS_CAR_Coordinator@bg.vnet.ibm.com
195,New,Operating System,Microsoft Windows Server,wfpm1idad061,80,mailto:BS_CAR_Coordinator@bg.vnet.ibm.com
144,New,Operating System,Microsoft Windows Server,wfpm1idad061,80,mailto:BS_CAR_Coordinator@bg.vnet.ibm.com
121,New,Operating System,Microsoft Windows Server,wfpm1idad061,80,mailto:BS_CAR_Coordinator@bg.vnet.ibm.com
119,New,Operating System,Microsoft Windows Server,wfpm1idad061,80,mailto:BS_CAR_Coordinator@bg.vnet.ibm.com
115,New,Operating System,Microsoft Windows Server,wfpm1idad061,80,mailto:BS_CAR_Coordinator@bg.vnet.ibm.com
102,New,Operating System,Microsoft Windows Server,wfpm1idad061,80,mailto:BS_CAR_Coordinator@bg.vnet.ibm.com
